#   Z    A  M_ej/M_sun
   38   90   9.894e-10
   38   91   5.540e-11
   38   92   4.753e-11
   38   93   9.661e-11
   38   94   1.367e-11
   38   95   5.798e-12
   39   79   2.531e-12
   39   80   5.441e-11
   39   81   1.467e-10
   39   82   2.679e-11
   39   83   1.309e-10
   39   84   2.670e-11
   39   85   2.246e-09
   39   86   8.601e-09
   39   87   1.144e-07
   39   88   7.522e-08
   39   89   2.042e-05
   39   90   1.393e-08
   39   91   6.785e-10
   39   92   1.206e-12
   39   93   1.429e-11
   39   94   1.423e-11
   39   95   7.014e-11
   39   96   1.401e-15
   39   97   3.617e-17
   40   80   1.736e-15
   40   81   7.297e-15
   40   82   7.698e-11
   40   83   4.050e-11
   40   84   3.134e-10
   40   85   1.798e-10
   40   86   1.886e-09
   40   87   1.574e-09
   40   88   2.083e-07
   40   89   2.808e-07
   40   90   2.493e-04
   40   91   2.045e-07
   40   92   1.221e-08
   40   93   3.248e-11
   40   94   5.326e-12
   40   95   1.487e-11
   40   96   1.392e-11
   40   97   4.229e-11
   40   98   4.170e-12
   40  100   3.454e-14
   40  102   9.115e-18
   41   83   2.911e-17
   41   84   2.712e-13
   41   85   1.063e-11
   41   86   2.407e-10
   41   87   1.989e-10
   41   88   1.162e-10
   41   89   3.114e-10
   41   90   2.980e-09
   41   91   8.550e-06
   41   92   1.227e-08
   41   93   4.321e-09
   41   94   6.487e-12
   41   95   1.517e-11
   41   96   5.259e-12
   41   97   1.184e-11
   41   98   4.284e-13
   41   99   1.108e-12
   41  100   9.253e-15
   41  101   5.176e-14
   41  102   3.594e-15
   41  104   2.255e-15
   41  105   6.897e-18
   42   85   5.932e-18
   42   86   1.607e-11
   42   87   5.722e-12
   42   88   7.633e-10
   42   89   2.279e-10
   42   90   1.003e-09
   42   91   4.972e-10
   42   92   7.774e-06
   42   93   1.974e-07
   42   94   9.538e-08
   42   95   1.721e-10
   42   96   3.120e-11
   42   97   2.090e-11
   42   98   3.738e-11
   42   99   5.931e-11
   42  100   8.201e-11
   42  101   1.369e-10
   42  102   1.567e-10
   42  103   4.074e-11
   42  104   3.330e-11
   42  105   1.797e-11
   42  106   1.783e-13
   42  107   7.847e-17
   43   88   1.544e-15
   43   89   2.461e-12
   43   90   5.437e-13
   43   91   3.381e-10
   43   92   5.641e-10
   43   93   4.423e-09
   43   94   1.536e-09
   43   95   1.872e-09
   43   96   1.022e-10
   43   97   1.023e-10
   43   98   1.331e-11
   43   99   2.904e-11
   43  100   2.209e-13
   43  101   2.630e-11
   43  102   1.230e-12
   43  103   3.673e-11
   43  104   5.268e-11
   43  105   7.123e-11
   43  106   2.125e-11
   43  107   1.039e-11
   43  108   1.313e-14
   44   90   1.587e-12
   44   91   1.272e-13
   44   92   1.698e-09
   44   93   2.154e-10
   44   94   3.250e-08
   44   95   8.646e-09
   44   96   1.726e-08
   44   97   5.401e-09
   44   98   4.073e-09
   44   99   5.450e-10
   44  100   2.933e-10
   44  101   4.066e-11
   44  102   5.382e-11
   44  103   5.040e-11
   44  104   7.800e-12
   44  105   1.370e-11
   44  106   6.492e-11
   44  107   1.107e-10
   44  108   1.758e-10
   44  109   4.518e-11
   44  110   1.445e-12
   45   92   1.225e-17
   45   93   1.566e-12
   45   94   3.614e-10
   45   95   4.287e-09
   45   96   5.541e-08
   45   97   1.577e-08
   45   98   7.601e-09
   45   99   1.504e-08
   45  100   4.336e-09
   45  101   5.126e-09
   45  102   5.300e-10
   45  103   2.012e-10
   45  104   3.009e-12
   45  105   2.327e-10
   45  106   2.544e-13
   45  107   5.833e-11
   45  108   1.080e-11
   45  109   1.311e-10
   45  110   5.039e-13
   45  111   8.693e-13
   45  112   4.537e-15
   46   94   9.363e-13
   46   95   3.417e-15
   46   96   7.604e-08
   46   97   5.815e-09
   46   98   3.177e-08
   46   99   1.086e-08
   46  100   6.485e-08
   46  101   2.142e-08
   46  102   1.834e-08
   46  103   5.634e-09
   46  104   2.920e-09
   46  105   6.582e-10
   46  106   1.020e-09
   46  107   6.268e-11
   46  108   3.057e-10
   46  109   8.794e-11
   46  110   2.265e-10
   46  111   1.466e-10
   46  112   2.181e-10
   46  113   7.690e-11
   46  114   9.499e-11
   46  115   1.188e-11
   46  116   1.024e-12
   46  117   1.067e-15
   47   96   9.203e-17
   47   97   4.174e-10
   47   98   2.124e-09
   47   99   1.474e-09
   47  100   1.027e-09
   47  101   1.194e-08
   47  102   1.138e-08
   47  103   1.908e-08
   47  104   9.536e-09
   47  105   9.571e-09
   47  106   2.242e-09
   47  107   3.119e-09
   47  108   3.879e-10
   47  109   1.447e-09
   47  110   4.025e-12
   47  111   5.952e-10
   47  112   2.841e-12
   47  113   1.174e-10
   47  114   3.111e-12
   47  115   1.316e-10
   47  116   1.120e-10
   47  117   9.801e-11
   47  118   2.116e-16
   47  119   7.678e-12
   48   98   6.150e-12
   48   99   1.482e-11
   48  100   2.022e-10
   48  101   1.922e-10
   48  102   5.408e-09
   48  103   4.500e-09
   48  104   2.025e-08
   48  105   6.781e-09
   48  106   1.102e-08
   48  107   6.807e-09
   48  108   5.518e-09
   48  109   3.665e-09
   48  110   1.989e-09
   48  111   9.678e-10
